enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
16967,city_142,0.727,Male,No relevent experience,Full time course,Primary School,,7,,,1,22,1.0
19438,city_39,0.898,Male,No relevent experience,Full time course,Graduate,STEM,6,,,never,47,0.0
17150,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,,never,56,0.0
17725,city_103,0.92,,Has relevent experience,Full time course,Masters,STEM,8,10000+,Pvt Ltd,1,80,0.0
12862,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,8,,Public Sector,1,56,1.0
14179,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Public Sector,2,78,1.0
15043,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Early Stage Startup,1,8,0.0
12330,city_160,0.92,,No relevent experience,Full time course,High School,,2,,,1,143,1.0
31037,city_44,0.725,Male,No relevent experience,Part time course,Masters,STEM,5,,,never,39,1.0
5240,city_24,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,2,25,0.0
12614,city_23,0.899,Female,No relevent experience,Full time course,Graduate,STEM,5,,,never,70,1.0
17941,city_21,0.624,,No relevent experience,no_enrollment,Masters,Business Degree,<1,10000+,Pvt Ltd,1,18,0.0
28815,city_73,0.754,Female,No relevent experience,no_enrollment,Masters,Business Degree,20,,,3,13,1.0
28245,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,Pvt Ltd,>4,3,0.0
15437,city_76,0.698,,No relevent experience,Full time course,Graduate,STEM,7,,,2,54,1.0
2033,city_39,0.898,Male,No relevent experience,no_enrollment,High School,,4,,,2,48,0.0
24071,city_80,0.847,Male,No relevent experience,Full time course,High School,,2,,,1,7,0.0
7350,city_152,0.698,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,83,0.0
33171,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Funded Startup,1,44,1.0
294,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,500-999,Pvt Ltd,2,212,0.0
7604,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,1,100-500,NGO,1,81,0.0
33069,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,1,,,1,13,0.0
6500,city_152,0.698,,No relevent experience,Full time course,Graduate,STEM,5,<10,Public Sector,1,108,0.0
18465,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,1,133,0.0
2767,city_75,0.939,Male,No relevent experience,Full time course,Graduate,STEM,15,1000-4999,NGO,1,25,0.0
29251,city_166,0.649,,Has relevent experience,Full time course,,,5,<10,Other,,188,0.0
24853,city_21,0.624,,No relevent experience,Part time course,Masters,STEM,13,,,1,39,1.0
12955,city_103,0.92,,No relevent experience,no_enrollment,High School,,2,,,never,91,0.0
10495,city_123,0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,1,34,0.0
12594,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,<10,NGO,>4,78,0.0
29528,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,1,34,0.0
6682,city_71,0.884,,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,3,86,1.0
23664,city_2,0.7879999999999999,Male,Has relevent experience,no_enrollment,High School,,>20,100-500,Funded Startup,1,56,0.0
25083,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,4,96,0.0
26027,city_75,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,2,27,0.0
8299,city_103,0.92,,No relevent experience,Part time course,Graduate,STEM,10,10000+,Pvt Ltd,4,9,0.0
15765,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,9,,,1,284,0.0
19869,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,4,63,0.0
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0.0
1375,city_23,0.899,,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Funded Startup,1,23,0.0
31145,city_67,0.855,Male,No relevent experience,no_enrollment,Primary School,,8,,Pvt Ltd,never,22,0.0
29549,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,1,113,0.0
2059,city_61,0.913,Male,Has relevent experience,no_enrollment,Phd,STEM,15,10/49,Funded Startup,>4,76,0.0
16428,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,4,5000-9999,,2,14,1.0
29086,city_114,0.926,Female,No relevent experience,Part time course,Graduate,STEM,5,10000+,Pvt Ltd,1,10,0.0
27459,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,,never,32,1.0
19861,city_114,0.926,,No relevent experience,no_enrollment,High School,,5,,,never,48,0.0
24564,city_160,0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,72,0.0
14826,city_75,0.939,,Has relevent experience,no_enrollment,High School,,5,<10,Pvt Ltd,,22,0.0
13454,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,NGO,1,116,1.0
